location;region;n;e
Łopuszka Wielka;Podkarpackie;49.9333;22.4000
Łopuszna;Małopolskie;49.8833;20.5667
Łopuszna;Małopolskie;49.4833;20.1333
Łopuszno;Świętokrzyskie;50.9500;20.2500
Łosia Wólka;Mazowieckie;52.3667;20.7167
Łosice;Lubelskie;52.2167;22.7167
Łosie;Mazowieckie;52.4667;21.1833
Łosie;Małopolskie;49.5833;21.1000
Łosie;Małopolskie;49.4667;20.9167
Łosienek;Świętokrzyskie;50.8833;20.3667
Łosieniec;Kujawsko-Pomorskie;51.6167;18.6500
Łosień;Świętokrzyskie;50.9000;20.3667
Łosień;Śląskie;50.3500;19.3333
Łosiewice;Mazowieckie;52.5833;21.7333
Łosiewo;Podlaskie;53.5833;22.4667
Łosiewo;Podlaskie;53.3500;21.9000
Łosiewo;Mazowieckie;52.5833;20.9667
Łosina;Dolnośląskie;51.2333;17.1667
Łosiniany;Podlaskie;53.2000;23.8667
Łosiniec;Podlaskie;53.3833;23.1833
Łosiniec;Lubelskie;50.4167;23.3000
Łosiniec;Wielkopolskie;52.7167;17.2000
Łosiniec Nowy;Wielkopolskie;52.7167;17.2000
Łosiniec Stary;Wielkopolskie;52.7333;17.2333
Łosinka;Podlaskie;52.8500;23.5667
Łosinno;Mazowieckie;52.6167;21.3667
Łosino;Pomorskie;54.4167;17.0167
Łosiny;Kujawsko-Pomorskie;53.7500;17.9333
Łosiny;Kujawsko-Pomorskie;53.6333;17.9833
Łosiów;Opolskie;50.7833;17.5667
Łoskoń;Kujawsko-Pomorskie;53.1833;18.1833
Łoskoń Stary;Wielkopolskie;52.6500;17.0500
Łososina Dolna;Małopolskie;49.7500;20.6167
Łososina Górna;Małopolskie;49.7333;20.4000
Łososiowice;Dolnośląskie;51.3000;16.6500
Łosośnica;Zachodniopomorskie;53.7000;15.2667
Łosośniki;Kujawsko-Pomorskie;52.5833;18.0000
Łostowice;Pomorskie;54.3167;18.6000
Łostówka;Małopolskie;49.6833;20.1500
Łoś;Mazowieckie;52.4667;21.1833
Łoś;Mazowieckie;51.9833;20.9500
Łośnica;Zachodniopomorskie;53.8500;16.1000
Łośno;Małopolskie;52.8500;15.2667
Łotów;Lubelskie;50.7333;23.6667
Łowce;Podkarpackie;49.9333;22.7333
Łowcza;Lubelskie;51.3333;23.4667
Łowczów;Małopolskie;49.9167;21.0000
Łowczówek;Małopolskie;49.9167;20.9833
Łowęcice;Wielkopolskie;51.9500;17.3000
Łowęcin;Wielkopolskie;52.4167;17.1167
Łowicz;Mazowieckie;52.1063;19.9453
Łowicz Wałecki;Zachodniopomorskie;53.3333;16.0333
Łowiczek;Kujawsko-Pomorskie;52.7500;18.7833
Łowiguz;Lubuskie;51.9667;14.8500
Łowin;Kujawsko-Pomorskie;53.3500;18.1667
Łowin;Dolnośląskie;51.0000;15.1167
Łowinek;Kujawsko-Pomorskie;53.3667;18.1333
Łowinia;Świętokrzyskie;50.6000;20.1167
Łowisko;Podkarpackie;50.3000;22.1833
Łowkowice;Kujawsko-Pomorskie;52.7500;18.8000
Łowkowice;Opolskie;51.0333;18.2500
Łownica;Podkarpackie;50.7167;21.4333
Łowocie;Podlaskie;54.2000;23.1333
Łowoszów;Śląskie;50.8667;18.3500
Łowyń;Małopolskie;52.5000;15.9167
Łoza;Podkarpackie;50.5833;22.3667
Łoza;Warmińsko-Mazurskie;54.0000;19.1333
Łoza;Warmińsko-Mazurskie;53.9833;19.1167
Łozice;Podlaskie;52.6667;23.5833
Łozice;Zachodniopomorskie;53.9000;16.5833
Łozice;Zachodniopomorskie;53.1167;14.7833
Łozienica;Zachodniopomorskie;53.5500;14.7667
Łozowo;Podlaskie;53.6000;23.4000
Łozy;Mazowieckie;52.3000;22.5000
Łozy;Warmińsko-Mazurskie;54.2167;19.9500
Łoźa;Pomorskie;53.6833;17.0833
Łoźnica;Zachodniopomorskie;53.7000;14.8500
Łoźnik;Warmińsko-Mazurskie;54.2500;20.2319
Łódź;Wielkopolskie;52.2667;16.7500
Łódź;Kujawsko-Pomorskie;51.7500;19.4667
Łówcza;Podkarpackie;50.3000;23.3167
Łóżki;Lubelskie;51.8833;22.8667
Łubcze;Lubelskie;50.4500;23.6667
Łubiane;Podlaskie;53.4833;22.2333
Łubianka;Podlaskie;53.4000;23.2333
Łubianka;Kujawsko-Pomorskie;53.1333;18.5000
Łubianka;Zachodniopomorskie;52.8833;15.2000
Łubianka;Wielkopolskie;52.1500;18.8500
Łubie;Śląskie;50.4333;18.6500
Łubiec;Mazowieckie;52.2833;20.6000
Łubienica;Mazowieckie;52.6500;21.0833
Łubienko;Podkarpackie;49.6667;21.5833
Łubin Kościelny;Podlaskie;52.7667;23.0167
Łubin Rudołty;Podlaskie;52.7667;23.0000
Łubin-Stok;Lubelskie;50.6333;23.3500
Łubka;Lubelskie;51.6333;22.7167
Łubki;Mazowieckie;52.5833;20.0500
Łubki;Lubelskie;51.2500;22.1833
Łubna;Kujawsko-Pomorskie;53.8167;17.9833
Łubna;Kujawsko-Pomorskie;51.5833;18.5167
Łubna Jarosłaj;Kujawsko-Pomorskie;51.6000;18.5167
Łubna-Jakusy;Kujawsko-Pomorskie;51.5833;18.5000
Łubniany;Opolskie;50.7833;18.0000
Łubnica;Wielkopolskie;52.1667;16.3833
Łubnica;Mazowieckie;52.0500;19.4167
Łubnice;Podkarpackie;50.4167;21.1500
Łubnice;Wielkopolskie;51.1667;18.2833
Łubniki;Podlaskie;53.0667;23.2667
Łubno;Kujawsko-Pomorskie;52.0500;20.0333
Łubno;Świętokrzyskie;50.8833;20.3833
Łubno;Podkarpackie;49.8167;22.1667
Łubno;Pomorskie;54.1500;17.2167
Łubno;Wielkopolskie;52.1833;19.0833
Łubno;Kujawsko-Pomorskie;52.0390;20.3592
Łubno Opace;Podkarpackie;49.6667;21.5833
Łubowo;Zachodniopomorskie;53.5833;16.3833
Łubowo;Wielkopolskie;52.7167;16.2667
Łuby;Lubelskie;52.1000;22.6667
Łuby;Pomorskie;53.7167;18.3833
Łuby;Wielkopolskie;51.8833;18.4667
Łuby Kiertany;Podlaskie;53.1500;21.8833
Łuby Kurki;Podlaskie;53.1500;21.8667
Łucka;Lubelskie;51.4333;22.6500
Łuczanowice;Małopolskie;50.1000;20.1167
Łucznica;Mazowieckie;51.9500;21.5000
Łuczyce;Małopolskie;50.1667;20.0833
Łuczyce;Podkarpackie;49.7500;22.8333
Łuczyna;Dolnośląskie;51.3000;17.2833
Łuczynów;Mazowieckie;51.4000;21.6833
Łuczynów Stary;Mazowieckie;51.6167;21.5167
Łuczywno;Wielkopolskie;52.3000;18.5000
Ług;Małopolskie;49.5000;21.2667
Ługi;Mazowieckie;53.0167;20.0667
Ługi;Mazowieckie;51.3833;21.7000
Ługi;Świętokrzyskie;50.6500;20.7333
Ługi;Małopolskie;52.9500;15.7000
Ługi;Wielkopolskie;51.9833;17.1667
Ługi;Wielkopolskie;51.9500;17.4833
Ługi;Kujawsko-Pomorskie;51.8667;19.6167
Ługi;Wielkopolskie;51.5333;16.7500
Ługi Radły;Śląskie;50.8333;18.6667
Ługi Rętki;Mazowieckie;52.1167;22.4000
Ługi Ujskie;Wielkopolskie;53.1000;16.7167
Ługi Wielkie;Mazowieckie;52.1167;22.3833
Ługiele;Podlaskie;54.3167;22.8833
Ługnica;Podkarpackie;50.3000;21.6333
Ługowice;Mazowieckie;51.6500;20.6667
Ługowina;Zachodniopomorskie;53.7500;15.4167
Ługowo;Lubuskie;51.9000;15.6167
Ługów;Lubelskie;51.3000;22.3500
Ługów;Lubuskie;52.2667;15.5000
Ługwałd;Warmińsko-Mazurskie;53.8481;20.4594
Łuh;Podkarpackie;49.2333;22.4500
Łuka;Mazowieckie;53.4333;21.1667
Łuka;Podlaskie;52.9333;23.7667
Łukanowice;Małopolskie;49.9667;20.8833
Łukaszew;Wielkopolskie;51.9667;17.2667
Łukaszew;Kujawsko-Pomorskie;51.8167;19.5167
Łukaszewko;Wielkopolskie;52.6000;17.7333
Łukaszewo;Kujawsko-Pomorskie;53.0333;19.1667
Łukaszów;Dolnośląskie;51.1833;15.9333
Łukaszówka;Lubelskie;50.9500;23.3000
Łukawa;Mazowieckie;51.5833;21.2667
Łukawa;Podkarpackie;50.7667;21.7000
Łukawica;Podlaskie;52.8667;22.8500
Łukawica;Lubelskie;51.5333;22.2333
Łukawica;Podkarpackie;50.6000;21.3000
Łukawica;Podkarpackie;50.3333;23.4000
Łukawiec;Podkarpackie;50.1000;22.1167
Łukawiec;Podkarpackie;50.0833;23.1167
Łukawiec Dolny;Podkarpackie;50.1000;22.1333
Łukawka;Lubelskie;51.5167;22.2333
Łukawka;Podkarpackie;50.8167;21.5500
Łukawska Wola;Mazowieckie;51.5833;21.2833
Łukęcin;Zachodniopomorskie;54.0333;14.8833
Łukjany;Podlaskie;53.1167;23.3833
Łuknajno;Podlaskie;53.8000;21.6500
Łukocin;Pomorskie;54.1167;18.6833
Łukomie;Mazowieckie;52.9167;19.7333
Łukomierz;Kujawsko-Pomorskie;51.2167;18.9167
Łukomka;Mazowieckie;52.9500;19.6833
Łukomska Huta;Wielkopolskie;52.1167;17.8167
Łukoszyn;Mazowieckie;52.6833;19.5833
Łukoszyn Borki;Mazowieckie;52.6833;19.5667
Łukoszyn Byki;Mazowieckie;52.7000;19.5667
Łukowa;Świętokrzyskie;50.7333;20.5333
Łukowa;Lubelskie;50.3667;22.9500
Łukowa;Podkarpackie;50.3333;22.3667
Łukowa;Małopolskie;50.1000;20.9833
Łukowa Podsośnina;Lubelskie;50.4167;22.9167
Łukowce;Lubelskie;52.0833;23.0167
Łukowe;Podkarpackie;49.4167;22.2333
Łukowica;Małopolskie;49.6167;20.4833
Łukowice;Zachodniopomorskie;52.9000;14.3000
Łukowice Brzeskie;Dolnośląskie;50.8500;17.3500
Łukowiczki;Opolskie;50.8167;17.3833
Łukowiec;Mazowieckie;52.0500;21.8500
Łukowiec;Mazowieckie;52.0333;21.3000
Łukowiec;Mazowieckie;51.9833;21.6667
Łukowiec;Lubelskie;51.5833;22.5000
Łukowiec;Podkarpackie;50.5667;21.6500
Łukowiec;Kujawsko-Pomorskie;53.2833;17.7167
Łukowiec Drugi;Kujawsko-Pomorskie;53.2667;17.7333
Łukowiec Pierwszy;Kujawsko-Pomorskie;53.2833;17.7167
Łukowisko;Lubelskie;52.0833;22.7333
Łukowo;Mazowieckie;52.8500;20.9000
Łukowo;Kujawsko-Pomorskie;53.7833;17.9500
Łukowo;Wielkopolskie;52.8833;17.3167
Łukowo;Wielkopolskie;52.6333;16.8833
Łuków;Mazowieckie;51.9167;22.3833
Łuków;Lubuskie;51.5667;14.8833
Łuków;Śląskie;50.1000;18.4000
Łukówek;Lubelskie;51.2833;23.5500
Łukówek Górny;Lubelskie;51.2833;23.5667
Łukówek Piękny;Lubelskie;51.2833;23.5500
Łukszty;Warmińsko-Mazurskie;54.1167;19.7500
Łukta;Warmińsko-Mazurskie;53.8167;20.0833
Łumbie;Podlaskie;54.1500;23.3333
Łuniew;Lubelskie;52.0833;22.6833
Łuniewo Małe;Podlaskie;52.7333;22.4667
Łuniewo Wielkie;Podlaskie;52.7500;22.4667
Łunowo;Zachodniopomorskie;53.8833;14.3500
Łupawa;Pomorskie;54.4167;17.4000
Łupianka Nowa;Podlaskie;53.0333;22.8333
Łupianka Stara;Podlaskie;53.0500;22.8667
Łupice;Lubuskie;51.9667;16.1000
Łupichy;Podlaskie;53.4500;22.8500
Łupiny;Małopolskie;50.0167;21.5167
Łupki;Podlaskie;53.6333;21.8667
Łupków;Podkarpackie;49.2333;22.0667
Łuplanka;Podlaskie;53.0000;23.8500
Łuplanka Nowa;Podlaskie;53.0000;23.8333
Łuplanka Stara;Podlaskie;52.9833;23.8500
Łupowo;Warmińsko-Mazurskie;53.7333;20.9667
Łupowo;Małopolskie;52.7000;15.1333
Łupstych;Warmińsko-Mazurskie;53.7833;20.3833
Łuskowo;Zachodniopomorskie;53.9167;14.6667
Łuszczacz;Lubelskie;50.4833;23.2500
Łuszczanowek;Mazowieckie;52.3167;19.7000
Łuszczanowice;Kujawsko-Pomorskie;51.2000;19.3000
Łuszczanów;Mazowieckie;52.3500;19.6833
Łuszczanów;Wielkopolskie;52.0333;17.5833
Łuszcze;Podlaskie;52.8000;23.4500
Łuszczewek;Mazowieckie;52.2333;20.5333
Łuszczewo;Wielkopolskie;52.5167;18.3667
Łuszczki;Wielkopolskie;51.5167;18.3500
Łuszczków;Lubelskie;50.8833;24.1167
Łuszczów;Lubelskie;51.3000;22.7333
Łuszczów;Lubelskie;50.8667;23.7500
Łuszczyn;Śląskie;50.8500;19.3667
Łuszkowo;Wielkopolskie;52.0333;16.8667
Łutynowo;Warmińsko-Mazurskie;53.5667;20.3500
Łużany;Podlaskie;53.1500;23.8500
Łuże;Podkarpackie;50.2500;21.5667
Łużki;Mazowieckie;52.4500;22.4500
Łużki;Lubelskie;52.1833;22.8167
Łużna;Małopolskie;49.7167;21.0500
Łychów;Mazowieckie;51.7833;20.9833
Łychów;Podkarpackie;50.8167;22.1333
Łychów Gościeradowski;Podkarpackie;50.8333;22.1500
Łychów Szlachecki;Podkarpackie;50.8167;22.1500
Łyczana;Małopolskie;49.7000;20.8000
Łyczanka;Małopolskie;49.9333;20.0000
Łyczba;Podkarpackie;50.4167;21.1833
Łyczyn;Wielkopolskie;51.9333;18.1500
Łykoszyn;Lubelskie;50.5667;23.8333
Łyna;Warmińsko-Mazurskie;53.4333;20.4167
Łyniew;Lubelskie;51.7333;23.2500
Łysa Góra;Warmińsko-Mazurskie;53.6667;20.9333
Łysa Góra;Lubelskie;51.5167;22.1333
Łysa Góra;Lubelskie;50.7333;23.7667
Łysa Góra;Małopolskie;49.9500;20.7500
Łysa Góra;Podkarpackie;49.5833;21.5833
Łysa Pałka;Wielkopolskie;51.6000;18.2000
Łysakowo;Warmińsko-Mazurskie;53.3667;20.3167
Łysakowo;Mazowieckie;53.0167;20.6167
Łysakowo;Mazowieckie;52.7000;19.7667
Łysaków;Lubelskie;51.3000;22.6667
Łysaków;Podkarpackie;50.7667;22.1833
Łysaków;Świętokrzyskie;50.6000;20.3333
Łysaków;Podkarpackie;50.3500;21.2667
Łysakówek;Podkarpackie;50.3833;21.3167
Łyse;Mazowieckie;53.3667;21.5667
Łyse;Podlaskie;52.9167;23.1167
Łysek;Wielkopolskie;52.4167;18.5000
Łysica;Warmińsko-Mazurskie;54.3833;19.4500
Łysiec;Śląskie;50.6833;19.0667
Łysina;Śląskie;49.7500;19.3167
Łysinin;Zachodniopomorskie;53.5333;16.4333
Łysinin;Kujawsko-Pomorskie;52.7667;17.7833
Łysiny;Wielkopolskie;51.8167;16.2167
Łysiny;Śląskie;50.8167;19.6667
Łyski;Śląskie;50.1167;18.4000
Łyskornia;Kujawsko-Pomorskie;51.2667;18.4000
Łyskowo;Kujawsko-Pomorskie;53.5333;17.8500
Łysobyki;Mazowieckie;52.4167;21.4500
Łysobyki;Lubelskie;51.6000;22.2667
Łysocha;Podkarpackie;50.2500;22.7833
Łysokanie;Małopolskie;49.9833;20.2667
Łysołaje;Lubelskie;51.1833;22.9500
Łysomice;Kujawsko-Pomorskie;53.0833;18.6167
Łysonie;Podlaskie;53.7333;21.9167
Łysów;Mazowieckie;52.3000;22.7000
Łysów;Świętokrzyskie;51.0167;20.3167
Łyszkowice;Małopolskie;50.1833;20.2167
Łyszkowice;Kujawsko-Pomorskie;51.9833;19.9167
Łyszkowice;Kujawsko-Pomorskie;51.8667;18.7167
Łyśniewo;Pomorskie;54.3667;17.8500
Łyżwy;Świętokrzyskie;51.1333;20.9333
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
Macew;Wielkopolskie;51.8333;18.0000
Macharce;Podlaskie;53.9667;23.2333
Machary;Warmińsko-Mazurskie;53.7167;21.2667
Machcin;Mazowieckie;51.9167;21.1500
Machcin;Wielkopolskie;51.9500;16.4333
Machcino;Mazowieckie;52.6167;19.7500
Machliny;Zachodniopomorskie;53.4833;16.3333
Machnacz;Kujawsko-Pomorskie;52.6500;18.9500
Machnatka;Mazowieckie;51.8500;20.7000
Machnów;Lubelskie;50.3500;23.6167
Machnów;Lubuskie;51.6000;15.3167
Machnówek;Lubelskie;50.4333;23.9167
Machnówka;Podkarpackie;49.6500;21.7167
Machocice Dolne;Świętokrzyskie;50.8833;20.7667
Machory;Małopolskie;50.1833;20.2000
Machowa;Małopolskie;50.0167;21.2167
Machow-Czupel;Lubelskie;51.2500;21.8333
Machowinko;Pomorskie;54.6000;17.0000
Machowino;Pomorskie;54.5500;17.0000
Machów;Podkarpackie;50.5333;21.6500
Maciejew;Wielkopolskie;51.7833;17.5500
Maciejewice;Mazowieckie;51.9000;20.9167
Maciejewo;Warmińsko-Mazurskie;54.3667;19.9167
Maciejewo;Zachodniopomorskie;53.5500;15.0000
Maciejewo;Wielkopolskie;52.3167;18.5667
Maciejewo;Wielkopolskie;51.9333;16.7500
Maciejkowice;Śląskie;50.3333;18.9667
Maciejowa;Małopolskie;49.5333;20.8667
Maciejowa;Dolnośląskie;50.9108;15.7592
Maciejowa Szyja;Mazowieckie;53.4000;21.2833
Maciejowa Wola;Podlaskie;54.3000;22.1167
Maciejowice;Mazowieckie;52.0500;22.5833
Maciejowice;Mazowieckie;51.7000;21.5500
Maciejowice;Mazowieckie;51.6000;21.4333
Maciejowice;Świętokrzyskie;50.5667;20.8667
Maciejowice;Małopolskie;50.1500;20.0667
Maciejowice;Opolskie;50.5000;17.1500
Maciejowiec;Dolnośląskie;50.9622;15.6175
Maciejowięta;Podlaskie;54.3000;22.6833
Maciejów;Lubelskie;50.9833;23.3833
Maciejów;Świętokrzyskie;50.4000;20.2000
Maciejów;Opolskie;51.0333;18.2833
Maciejów Nowy;Lubelskie;50.9000;22.7500
Maciejów Stary;Lubelskie;50.9000;22.7333
Macierzysz;Kujawsko-Pomorskie;52.2167;20.3500
Maciesze;Podlaskie;53.5000;22.9167
Maciesze;Kujawsko-Pomorskie;53.0333;19.0500
Macikowo;Kujawsko-Pomorskie;53.0500;19.0667
Maciołki;Mazowieckie;52.3333;21.1667
Maciowakrze;Opolskie;50.1833;18.0333
Macoszyn;Lubelskie;51.3833;23.5167
Macoszyn Duży;Lubelskie;51.3833;23.5167
Macoszyn Mały;Lubelskie;51.3833;23.5167
Maczalna Nowa;Podlaskie;53.3500;23.4333
Maczalna Stara;Podlaskie;53.3500;23.4000
Maczki;Śląskie;50.2667;19.2667
Maczków;Lubuskie;52.2833;14.7500
Maczugi;Podkarpackie;50.1500;22.8500
Maćkowa Ruda;Podlaskie;54.0500;23.1667
Maćkowice;Podkarpackie;49.8500;22.7000
Maćkowicze;Podlaskie;52.3667;22.9333
Maćkówka;Podkarpackie;50.0333;22.5167
Maćkówka;Śląskie;50.8500;19.6167
Madaje Nowe;Kujawsko-Pomorskie;51.8167;19.1167
Madaje Stare;Kujawsko-Pomorskie;51.8333;19.1000
Madalin;Wielkopolskie;51.8833;18.4167
Madlęcin;Dolnośląskie;50.7000;16.4833
Magdaleniec;Warmińsko-Mazurskie;53.3667;20.5333
Magdaleniec;Kujawsko-Pomorskie;52.9667;18.3667
Magdalenka;Kujawsko-Pomorskie;51.5667;19.8000
Magdalenka;Kujawsko-Pomorskie;51.3167;19.6167
Magdalenki;Wielkopolskie;51.7333;17.1500
Magdalenki;Śląskie;50.9000;19.6167
Magdalenowo;Podlaskie;54.0833;23.1167
Magdalenów;Kujawsko-Pomorskie;51.7167;19.1833
Magdalenów;Mazowieckie;51.3667;19.1667
Magdasz;Śląskie;50.7667;19.6500
Magierowa Wola;Mazowieckie;51.8667;21.2167
Magierów;Mazowieckie;51.3167;21.2167
Magierów;Świętokrzyskie;50.4000;20.9167
Magnice;Dolnośląskie;50.9833;16.9667
Magnusy;Kujawsko-Pomorskie;51.7500;19.0667
Magnuszew;Mazowieckie;51.7667;21.4000
Magnuszew Duży;Mazowieckie;52.8167;21.2167
Magnuszew Mały;Mazowieckie;52.7833;21.2000
Magnuszewice;Wielkopolskie;51.9333;17.6000
Magnuszowice;Opolskie;50.7000;17.6167
Magnuszy;Podlaskie;53.3667;22.8167
Magoń;Świętokrzyskie;50.9833;21.5167
Majaczewice;Kujawsko-Pomorskie;51.4333;18.8167
Majan;Podkarpackie;50.1167;21.7500
Majdan;Podlaskie;54.3000;23.0833
Majdan;Mazowieckie;53.1667;21.2667
Majdan;Mazowieckie;52.5833;21.6833
Majdan;Mazowieckie;52.5667;21.8000
Majdan;Mazowieckie;52.5167;21.9000
Majdan;Mazowieckie;52.3333;21.3000
Majdan;Mazowieckie;52.2000;21.2833
Majdan;Mazowieckie;52.0333;21.6000
Majdan;Lubelskie;51.5333;22.4500
Majdan;Lubelskie;51.0667;22.0667
Majdan;Kujawsko-Pomorskie;51.0333;20.0000
Majdan;Lubelskie;50.9167;22.4167
Majdan;Lubelskie;50.8833;23.5667
Majdan;Lubelskie;50.8833;23.3833
Majdan;Lubelskie;50.8667;22.8667
Majdan;Lubelskie;50.7333;23.2833
Majdan;Podkarpackie;50.7333;22.3167
Majdan;Lubelskie;50.4667;22.7167
Majdan;Lubelskie;50.4500;23.1667
Majdan;Lubelskie;50.3333;23.4000
Majdan;Podkarpackie;50.3333;22.2667
Majdan;Podkarpackie;50.2000;21.8833
Majdan Abramowski;Lubelskie;50.7167;22.7667
Majdan Borowski;Lubelskie;51.1167;22.1833
Majdan Borowski;Lubelskie;50.9167;22.9667
Majdan Borowski Drugi;Lubelskie;50.9000;23.0333
Majdan Borzechowski;Lubelskie;51.1167;22.0000
Majdan Brzezicki;Lubelskie;51.1833;22.8667
Majdan Chmiel;Lubelskie;51.0833;22.6833
Majdan Golczański;Podkarpackie;50.5667;22.3500
Majdan Górny;Lubelskie;50.4667;23.4833
Majdan Grabina;Lubelskie;50.9333;22.3667
Majdan Gromadzki;Lubelskie;50.5833;22.6833
Majdan Jarociński;Podkarpackie;50.6000;22.3000
Majdan Jeziorka;Lubelskie;50.9333;22.4833
Majdan Kamieniecki;Lubelskie;51.0667;23.6000
Majdan Kasztelański;Lubelskie;50.5333;23.0333
Majdan Kawenczyński;Lubelskie;51.1333;22.7333
Majdan Kiełezewski;Mazowieckie;52.6667;21.9000
Majdan Kobylański;Lubelskie;50.9000;23.0167
Majdan Kozic Dolnych;Lubelskie;51.1167;22.7000
Majdan Kozic Górnych;Lubelskie;51.1000;22.7333
Majdan Kozłowiecki;Lubelskie;51.4167;22.6000
Majdan Krasieniński;Lubelskie;51.3500;22.5000
Majdan Krężnicki;Lubelskie;51.1333;22.4500
Majdan Królewski;Podkarpackie;50.3833;21.7500
Majdan Krynicki;Lubelskie;50.9000;23.2500
Majdan Krynicki;Lubelskie;50.6000;23.4000
Majdan Krzywski;Lubelskie;51.0167;23.0500
Majdan Kukawiecki;Lubelskie;50.9000;23.4833
Majdan Leśniowski;Lubelskie;51.0000;23.5333
Majdan Lipowiecki;Podkarpackie;50.0667;23.1833
Majdan Łuczycki;Lubelskie;50.8833;23.0333
Majdan Łysakowski;Podkarpackie;50.7500;22.2000
Majdan Mały;Lubelskie;50.5333;23.3000
Majdan Mętowski;Lubelskie;51.1500;22.6833
Majdan Niepryski;Lubelskie;50.4833;23.0833
Majdan Nowy;Lubelskie;50.8833;23.5833
Majdan Nowy;Lubelskie;50.4667;22.7500
Majdan Ostrowski;Lubelskie;50.9500;23.4833
Majdan Piotrków;Lubelskie;51.0333;22.6667
Majdan Policki;Lubelskie;51.0833;22.7667
Majdan Radliński;Lubelskie;51.0500;22.2333
Majdan Ruszkowski;Lubelskie;50.6167;23.3000
Majdan Rybie;Lubelskie;51.0833;23.3333
Majdan Sielec;Lubelskie;50.6000;23.4500
Majdan Sieniawski;Lubelskie;50.2833;22.7500
Majdan Siostrzytowski;Lubelskie;51.1833;23.0167
Majdan Sitaniecki;Lubelskie;50.8500;23.2667
Majdan Skierbieszowski;Lubelskie;50.8833;23.3833
Majdan Skordiów;Lubelskie;51.1000;23.7167
Majdan Skrzyniecki;Lubelskie;51.1000;22.2500
Majdan Sobieszczański;Lubelskie;51.0500;22.3500
Majdan Sopocki;Lubelskie;50.4667;23.1667
Majdan Stajne;Lubelskie;51.1333;23.2833
Majdan Stare Obleszcze;Podkarpackie;50.8333;22.3833
Majdan Starowiejski;Lubelskie;50.9500;22.4833
Majdan Stary;Lubelskie;51.1333;23.2833
Majdan Stary;Lubelskie;50.9000;23.4833
Majdan Stary;Lubelskie;50.4667;22.7000
Majdan Surchowski;Lubelskie;50.9333;23.3167
Majdan Suski;Mazowieckie;52.8500;21.6167
Majdan Średni;Lubelskie;50.9000;23.0000
Majdan Tuczępski;Lubelskie;50.8667;23.5000
Majdan Wielki;Lubelskie;50.8333;23.6667
Majdan Wielki;Lubelskie;50.5500;23.2833
Majdan Wierzchowiński;Lubelskie;50.8667;22.8500
Majdan Wrotkowski;Lubelskie;51.2167;22.5333
Majdan Zbydniowski;Podkarpackie;50.6500;21.9667
Majdan Zukowski;Podkarpackie;50.1833;22.7167
Majdan Żukowski;Lubelskie;50.8000;23.4833
Majdanek;Lubelskie;50.4667;23.4667
Majdanek;Lubelskie;51.2333;22.6000
Majdanki;Mazowieckie;51.1833;20.7167
Majdany;Mazowieckie;52.4000;20.2667
Majdany;Lubelskie;51.2333;21.8333
Majdany;Podkarpackie;50.5833;22.1500
Majdany;Pomorskie;54.2500;18.3167
Majdany;Kujawsko-Pomorskie;52.9333;19.2500
Majdany;Wielkopolskie;52.1500;17.1833
Majdany;Wielkopolskie;52.1333;18.7000
Majdany;Kujawsko-Pomorskie;51.5167;19.5000
Majdany Wielkie;Warmińsko-Mazurskie;53.8000;19.7833
Majdanzahorodyński;Lubelskie;51.2167;23.1333
Majdów;Mazowieckie;51.1667;20.7833
Majdy;Warmińsko-Mazurskie;53.7000;20.3833
Majere;Małopolskie;49.1500;20.4000
Majerozy Kówka;Małopolskie;49.3167;20.0333
Majewo;Warmińsko-Mazurskie;54.2333;19.5833
Majewo;Pomorskie;53.8000;18.6833
Majewo;Mazowieckie;52.8833;19.5833
Majki;Mazowieckie;53.2167;21.2167
Majki;Mazowieckie;52.7667;19.8500
Majki Duże;Mazowieckie;52.7667;19.8500
Majki Małe;Mazowieckie;52.7667;19.8500
Majki Orłowo;Mazowieckie;52.7667;19.8333
Majki-Tykiewki;Mazowieckie;53.0333;21.3000
Majkowice;Małopolskie;50.0500;20.4833
Majków;Świętokrzyskie;51.1000;20.9167
Majków;Wielkopolskie;51.7833;18.0833
Majków Duży;Kujawsko-Pomorskie;51.4167;19.6000
Majków Mały;Kujawsko-Pomorskie;51.4500;19.6167
Majków Średni;Kujawsko-Pomorskie;51.4333;19.6000
MajLowice;Kujawsko-Pomorskie;51.1667;19.8833
Majorat;Kujawsko-Pomorskie;51.3500;18.7500
Majscowa;Podkarpackie;49.7167;21.4833
Mak;Mazowieckie;52.9167;19.9500
Makarki;Podlaskie;52.5667;22.7667
Makarowo;Wielkopolskie;52.3333;18.2500
Makarówka;Lubelskie;52.1167;22.8833
Makłuczka;Podkarpackie;49.9000;22.1333
Makocice;Małopolskie;50.2167;20.2667
Makolno;Wielkopolskie;52.3500;18.5667
Makolno;Dolnośląskie;50.4667;16.8333
Makomazy;Mazowieckie;52.7833;19.8333
Makosieje;Podlaskie;53.8167;22.5500
Makoszka;Lubelskie;51.5833;22.9333
Makoszowy;Śląskie;50.2667;18.7667
Makoszyn;Świętokrzyskie;50.8167;20.9667
Makoszyn;Kujawsko-Pomorskie;51.5167;19.5833
Makotowiec;Śląskie;50.1333;18.9667
Makowa Rustykalna;Podkarpackie;49.6333;22.6833
Makowica;Mazowieckie;52.8667;21.1333
Makowica;Małopolskie;49.7667;20.4000
